Test_ID	Gene	Locus	GO_Term	ConstantCO2_LowpH	ConstantCO2_HighpH	pH7_LowCO2_2	pH7_MidCO2	pH7_HighCO2	pH8_LowCO2	pH8_MidCO2
XLOC_042311	EMIHUDRAFT_203243	KB864654:781413-782472	phosphotransferase activity, alcohol group as acceptor	0.318309	0.399923	0.705736	0.390997	0.335154	0.349662	0.374564
XLOC_042312	EMIHUDRAFT_203245	KB864654:784072-785769	lyase activity	0.650274	1.20166	1.78404	1.94553	1.12791	1.95009	0.795081
XLOC_026331	-	EMIHUscaffold_7:14869-15154	None	2.52761	3.99062	2.90682	2.53972	1.24399	4.02681	2.53465
XLOC_026334	-	EMIHUscaffold_7:48097-49073	None	0.25159	0.540558	0.826138	0.432189	0.246827	0.351229	0.13802
XLOC_026336	-	EMIHUscaffold_7:120283-120683	None	0.192632	0.740369	0.171242	0.20048	0.750901	1.28978	1.02724
XLOC_025973	EMIHUDRAFT_432792	EMIHUscaffold_7:82872-86255	None	11.0578	13.8698	12.4573	8.76477	9.05192	13.1836	9.88725
XLOC_025972	EMIHUDRAFT_197718	EMIHUscaffold_7:76634-77805	protein prenylation	2.33685	2.19777	1.93263	2.13322	2.56492	1.69592	2.34121
XLOC_025971	EMIHUDRAFT_432789	EMIHUscaffold_7:63328-64642	2 iron, 2 sulfur cluster binding	1713.84	2053.12	1711.75	796.688	950.767	903.995	1016.65
XLOC_025976	-	EMIHUscaffold_7:101189-102256	None	6.25019	4.13127	5.25288	5.76452	5.87518	4.59468	4.42013
XLOC_025975	EMIHUDRAFT_461703	EMIHUscaffold_7:92670-101001	protein binding	8.63968	7.3341	6.94445	5.43495	5.87493	7.85587	7.02128
XLOC_025974	EMIHUDRAFT_414694	EMIHUscaffold_7:88779-90108	nucleotide binding	123.185	145.147	103.302	181.535	181.902	114.841	174.115
XLOC_014906	EMIHUDRAFT_419333	EMIHUscaffold_387:12344-14976	hydrolase activity, hydrolyzing O-glycosyl compounds	3.08266	2.43172	2.71831	1.32259	1.89439	1.74856	1.90257
XLOC_014907	EMIHUDRAFT_458840	EMIHUscaffold_387:15071-17073	None	4.52228	2.83999	2.11266	2.39345	2.7556	2.17918	1.3067
XLOC_014905	EMIHUDRAFT_445043	EMIHUscaffold_387:5736-6568	None	2.90128	2.58872	2.64083	4.1647	3.26742	3.47812	4.39194
XLOC_014901	-	EMIHUscaffold_3863:36-503	None	55.574	47.5054	49.9499	24.5589	28.9452	28.1608	35.008
XLOC_015262	EMIHUDRAFT_243546	EMIHUscaffold_391:64422-65787	None	0.585837	0.571937	0.679728	0.22857	0.43497	0.148568	0.0973297
XLOC_015059	EMIHUDRAFT_59878	EMIHUscaffold_39:379969-617236	None	7.18867	4.3298	4.9464	5.94738	6.12025	4.40067	6.38167
XLOC_015053	EMIHUDRAFT_451245	EMIHUscaffold_39:379969-617236	protein complex	80.1739	35.1147	40.3693	82.6801	76.2768	34.1361	110.544
XLOC_015052	EMIHUDRAFT_209486	EMIHUscaffold_39:379969-617236	nucleotide binding	10.6049	13.074	10.1224	11.2305	11.1934	9.84056	10.7823
XLOC_015051	EMIHUDRAFT_45739	EMIHUscaffold_39:379969-617236	protein peptidyl-prolyl isomerization	5.76238	5.25389	4.4394	3.2152	3.61215	4.38746	4.24056
XLOC_015050	EMIHUDRAFT_209479	EMIHUscaffold_39:379969-617236	None	295.625	208.629	195.511	250.101	252.699	189.432	248.664
XLOC_015057	EMIHUDRAFT_209507,EMIHUDRAFT_209508	EMIHUscaffold_39:379969-617236	None	33.4674	40.5337	24.8481	29.6173	32.2912	27.8605	37.5082
XLOC_015056	EMIHUDRAFT_102357	EMIHUscaffold_39:379969-617236	phospholipid transport	4.48314	2.74247	4.66353	3.84251	3.63985	3.94825	3.08085
XLOC_015054	EMIHUDRAFT_451247	EMIHUscaffold_39:379969-617236	None	0.989233	0.663273	1.18191	0.397255	0.251741	0.688136	0.394766
XLOC_005029	EMIHUDRAFT_450133	EMIHUscaffold_23:25189-28738	binding	2.43673	2.27394	2.21243	2.933	2.9305	2.61329	2.79533
XLOC_005028	EMIHUDRAFT_450132	EMIHUscaffold_23:22690-24042	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	3.18992	5.03611	4.2953	4.95765	2.96775	4.87957	3.75537
XLOC_005027	EMIHUDRAFT_204945	EMIHUscaffold_23:17908-18878	protein binding	1.32131	2.05526	1.43632	1.5005	3.0566	2.37086	1.51838
XLOC_005024	EMIHUDRAFT_353690	EMIHUscaffold_23:12027-12670	None	3.16403	1.96525	3.58287	1.1229	2.69531	2.7903	1.67451
XLOC_034628	EMIHUDRAFT_313254	KB864089:116056-117671	binding	1.38631	1.88034	1.3733	1.16149	1.32855	0.76148	1.68719
XLOC_023469	EMIHUDRAFT_247738	EMIHUscaffold_602:14827-19050	None	11.7832	15.8264	13.1162	12.9905	15.7089	13.2113	13.4957
XLOC_023468	EMIHUDRAFT_247734	EMIHUscaffold_602:7018-10089	proteolysis	1.57574	2.12263	1.48921	1.4623	1.84826	1.61083	1.6974
XLOC_023463	EMIHUDRAFT_371424	EMIHUscaffold_602:13242-13845	None	60.0528	35.5375	86.4508	101.467	65.0235	108.667	74.9358
XLOC_023467	EMIHUDRAFT_446044	EMIHUscaffold_602:26849-27898	voltage-gated calcium channel activity	1.4262	1.30368	0.797944	1.33495	1.95881	0.578797	0.926246
XLOC_023466	EMIHUDRAFT_446042	EMIHUscaffold_602:24285-26603	None	17.1859	17.9888	25.9667	18.3502	19.4525	23.3467	19.2745
XLOC_023464	EMIHUDRAFT_446040	EMIHUscaffold_602:14827-19050	None	2.11213	2.35094	2.0142	2.00804	2.20886	1.94011	2.91898
XLOC_010108	EMIHUDRAFT_447812,EMIHUDRAFT_95678	EMIHUscaffold_3:1655830-2041324	None	0.858938	0.82482	0.541925	0.503516	0.769592	0.534109	0.741836
XLOC_024208	EMIHUDRAFT_437718	EMIHUscaffold_63:597385-600117	None	34.8622	41.3998	35.5833	35.2462	39.5205	36.5885	45.5857
XLOC_024209	-	EMIHUscaffold_63:600196-601935	None	0.690941	0.588633	0.667614	0.645481	0.441519	0.593305	0.394128
XLOC_010102	EMIHUDRAFT_447790	EMIHUscaffold_3:1655830-2041324	None	0.413696	0.903265	0.840815	0.329199	0.664188	0.568402	0.935361
XLOC_010100	EMIHUDRAFT_308411	EMIHUscaffold_3:1655830-2041324	None	5.44724	8.41234	10.0716	4.83727	3.83038	1.54117	5.31996
XLOC_010107	EMIHUDRAFT_195602	EMIHUscaffold_3:1655830-2041324	ATPase activity	5.35905	2.16604	4.55771	2.89858	2.02661	2.83515	3.6548
XLOC_010105	EMIHUDRAFT_447796	EMIHUscaffold_3:1655830-2041324	lipid metabolic process	6.84188	3.70777	3.70963	5.79374	5.31962	2.28668	3.55798
XLOC_017859	-	EMIHUscaffold_4451:204-1124	None	21.024	18.3076	21.8519	16.336	14.1798	23.7469	21.7347
XLOC_042823	EMIHUDRAFT_418362	KB864684:10897-13698	membrane	7.50045	3.7478	4.22253	3.78979	4.23565	2.55572	4.98356
XLOC_004854	EMIHUDRAFT_235865	EMIHUscaffold_227:78140-80155	potassium ion transmembrane transport	1.25577	2.00685	2.00957	1.97588	1.9298	2.20106	1.85169
XLOC_004857	EMIHUDRAFT_235879	EMIHUscaffold_227:108482-109814	RNA methyltransferase activity	1.34206	1.17568	1.09832	0.7957	1.23933	0.853469	1.35514
XLOC_004856	-	EMIHUscaffold_227:96756-97545	None	0.717597	1.3078	2.2745	1.71835	0.940485	2.59873	0.650806
XLOC_004851	EMIHUDRAFT_235852	EMIHUscaffold_227:41727-42090	None	4.45968	6.28984	6.2163	5.33028	5.78298	7.61595	4.76214
XLOC_025158	EMIHUDRAFT_257760	EMIHUscaffold_6661:41-608	None	2.64846	4.52198	3.63473	3.37012	4.9282	4.94516	4.30926
XLOC_004852	-	EMIHUscaffold_227:48420-52076	None	54.607	67.5837	50.0861	59.1411	53.9167	59.1331	51.9798
XLOC_025154	-	EMIHUscaffold_666:54333-55044	None	34.0643	43.6242	32.8631	35.0887	34.282	37.6188	34.8718
XLOC_004859	EMIHUDRAFT_235881	EMIHUscaffold_227:113928-117802	None	26.3219	24.0463	21.6376	26.8709	22.6606	28.9719	28.5873
XLOC_025153	-	EMIHUscaffold_666:48306-49696	None	3.13938	3.59398	3.97201	2.89262	2.93888	3.1357	3.28417
XLOC_025152	EMIHUDRAFT_446206	EMIHUscaffold_666:45855-47848	threonine-type endopeptidase activity	0.980872	0.479705	0.862261	1.62475	1.36306	1.03093	0.76084
XLOC_010810	EMIHUDRAFT_116744	EMIHUscaffold_306:73902-76202	None	0.580401	0.474146	0.443685	0.585667	0.383741	0.504395	0.409476
XLOC_010811	EMIHUDRAFT_240333	EMIHUscaffold_306:77024-77591	None	0.63563	0.822179	0.956507	0.786362	0.339876	0.799953	0.670329
XLOC_010812	EMIHUDRAFT_458166	EMIHUscaffold_306:80257-86749	DNA metabolic process	7.48114	2.38447	3.17248	4.40994	4.66458	2.3717	5.67859
XLOC_010813	EMIHUDRAFT_368378	EMIHUscaffold_306:91235-94222	None	2.35315	2.13229	4.22996	2.69383	2.09833	4.92544	3.72767
XLOC_010814	EMIHUDRAFT_48008	EMIHUscaffold_306:94571-94973	hydrolase activity	0.190774	0.366682	1.35715	0.794486	1.19054	0.89459	1.69613
XLOC_010816	EMIHUDRAFT_240351	EMIHUscaffold_306:113654-116294	None	10.4698	13.8656	9.8848	11.5167	12.6093	13.6831	14.4707
XLOC_007317	EMIHUDRAFT_254633	EMIHUscaffold_2565:25-1604	None	7.06221	8.41628	6.8626	6.5047	6.32322	6.67397	8.15464
XLOC_007313	EMIHUDRAFT_254625	EMIHUscaffold_2558:1065-1896	None	71.1084	46.3073	65.9219	86.6665	74.8466	93.6762	76.7246
XLOC_007312	EMIHUDRAFT_123552	EMIHUscaffold_2557:633-2312	oxidation-reduction process	1.88394	1.12625	1.32783	1.17172	0.891089	1.31087	1.16434
XLOC_007310	EMIHUDRAFT_373817	EMIHUscaffold_2556:437-1128	None	0.396749	0.463335	0.719947	0.761787	0.64225	1.31771	1.37022
XLOC_007319	EMIHUDRAFT_254634	EMIHUscaffold_2566:209-2434	None	0.359417	0.176157	0.934059	0.17268	0.329975	0.379813	0.330702
XLOC_007318	EMIHUDRAFT_254633	EMIHUscaffold_2565:25-1604	None	1.42877	1.36555	1.76325	1.59679	1.49496	1.67786	1.26706
XLOC_039855	EMIHUDRAFT_98951	KB864456:849208-1157105	metal ion binding	9.86843	9.53317	9.33728	12.9592	11.0976	11.066	12.4952
XLOC_019998	EMIHUDRAFT_432523	EMIHUscaffold_5:394334-764835	None	0.197479	0.337532	0.180149	0.212057	0.0403918	0.0689884	0.180585
XLOC_019999	EMIHUDRAFT_448138	EMIHUscaffold_5:394334-764835	None	0.998982	1.21023	0.746631	0.936466	0.845285	0.887294	0.917953
XLOC_019996	-	EMIHUscaffold_5:394334-764835	None	6.41733	6.03354	4.97961	8.75798	7.40601	5.31226	8.73131
XLOC_019997	EMIHUDRAFT_448135	EMIHUscaffold_5:394334-764835	None	18.49	23.1048	16.1714	15.4184	12.4261	20.2256	14.4063
XLOC_019994	EMIHUDRAFT_197012	EMIHUscaffold_5:394334-764835	DNA binding	7.5923	8.21167	7.10748	6.67523	6.78632	8.85253	6.72966
XLOC_019995	EMIHUDRAFT_448133	EMIHUscaffold_5:394334-764835	protein methylation	9.90452	10.3451	11.6326	16.8148	15.0833	15.6236	12.3736
XLOC_019992	EMIHUDRAFT_432514	EMIHUscaffold_5:394334-764835	None	0.424081	0.472782	0.354775	0.461852	0.48106	0.616699	0.500228
XLOC_039857	EMIHUDRAFT_98955	KB864456:849208-1157105	catalytic activity	9.7328	8.4345	8.65194	8.14326	7.24018	8.9874	8.47683
XLOC_019990	EMIHUDRAFT_448130	EMIHUscaffold_5:394334-764835	extracellular ligand-gated ion channel activity	0.0599681	0.0391859	0.0550006	0.0864276	0.0165228	0.0985903	0.0551729
XLOC_019991	EMIHUDRAFT_197006	EMIHUscaffold_5:394334-764835	catalytic activity	13.6881	16.8997	14.3005	13.0867	9.66716	16.6234	15.5577
XLOC_039851	EMIHUDRAFT_449382	KB864456:849208-1157105	iron-sulfur cluster binding	8.54671	10.7037	9.27641	14.3155	15.4592	6.5431	9.95311
XLOC_039853	EMIHUDRAFT_46225	KB864456:849208-1157105	None	12.4161	9.65975	8.3434	7.07817	9.06348	6.34653	6.31214
XLOC_012523	-	EMIHUscaffold_34:611282-612853	None	25.1046	30.3288	22.8225	14.4467	22.6691	20.4905	18.197
XLOC_012521	EMIHUDRAFT_65334	EMIHUscaffold_34:580721-582797	hydrolase activity, hydrolyzing O-glycosyl compounds	0.514951	0.415174	0.388238	0.130675	0.349139	0.297821	0.333735
XLOC_012526	EMIHUDRAFT_450891,EMIHUDRAFT_463832	EMIHUscaffold_34:643485-677841	None	13.3636	15.3717	10.243	10.5834	11.8713	13.4593	11.6737
XLOC_012527	-	EMIHUscaffold_34:643485-677841	None	0.544492	1.06117	0.928182	0.58228	1.21658	1.37027	1.30195
XLOC_012524	-	EMIHUscaffold_34:619273-621470	None	14.2839	15.1425	12.3053	9.39296	8.98525	14.7113	13.3869
XLOC_002844	EMIHUDRAFT_108817	EMIHUscaffold_109:254490-258118	oxidation-reduction process	0.898043	1.15396	1.15227	2.33616	3.69309	1.07644	1.96552
XLOC_005817	EMIHUDRAFT_443406	EMIHUscaffold_238:9740-14797	molybdenum ion binding	5.86782	4.98725	8.0556	18.7532	12.6512	19.0599	12.6116
XLOC_002847	EMIHUDRAFT_223380	EMIHUscaffold_109:278347-278686	None	1.09133	0.781006	0.478976	1.67848	1.03959	0.537032	0.717529
XLOC_002840	EMIHUDRAFT_108811	EMIHUscaffold_109:198815-201207	None	8.51672	5.0828	7.46089	6.74076	7.30679	6.87439	6.38398
XLOC_002841	EMIHUDRAFT_108812	EMIHUscaffold_109:204473-206834	None	2.17794	2.52457	2.65093	3.31432	2.88475	1.79579	2.20986
XLOC_002842	EMIHUDRAFT_454397	EMIHUscaffold_109:212644-214857	None	0.10548	0.144734	0.251497	0.159593	0.0522728	0.341711	0.213466
XLOC_024789	-	EMIHUscaffold_65:351057-351938	None	1.57144	2.29178	2.92654	2.41701	2.60737	1.20528	2.21803
XLOC_024788	-	EMIHUscaffold_65:349280-349764	None	2.82076	0.723098	1.84032	0.391792	1.61499	1.00855	0.836387
XLOC_024786	-	EMIHUscaffold_65:320420-321560	None	4.59199	3.82715	3.32876	3.70203	3.73316	4.16036	4.36639
XLOC_018716	EMIHUDRAFT_419528	EMIHUscaffold_469:31251-32949	vacuolar transport	7.45311	4.85425	5.54507	6.38175	4.89067	4.49535	6.54034
XLOC_018715	-	EMIHUscaffold_469:7158-8062	None	1.84317	2.09726	1.17446	3.02679	1.85135	2.22256	2.466
XLOC_018714	EMIHUDRAFT_245628	EMIHUscaffold_469:4617-6386	None	0.488748	0.668369	0.936433	0.41993	0.599671	0.887393	0.804608
XLOC_018712	-	EMIHUscaffold_4686:853-1676	None	3.2799	3.50311	4.71731	4.86334	4.66091	5.03614	4.94332
XLOC_018718	EMIHUDRAFT_445546	EMIHUscaffold_469:47555-49405	None	4.54061	1.49396	3.63715	5.52663	5.9933	1.58663	4.15499
XLOC_006549	EMIHUDRAFT_115273	EMIHUscaffold_246:143910-146918	protein ubiquitination	6.61816	2.24016	3.16601	4.95917	4.46127	2.52072	5.30812
XLOC_006548	EMIHUDRAFT_443505	EMIHUscaffold_246:138006-139928	None	2.28298	1.64953	1.89543	2.11895	2.16506	2.19205	1.83625
XLOC_006544	-	EMIHUscaffold_246:108591-109447	None	3.59392	4.63396	6.13771	3.83006	2.90467	6.81547	4.93319
XLOC_006541	EMIHUDRAFT_457443	EMIHUscaffold_246:86484-92866	nuclease activity	2.39184	0.944727	1.04062	1.90595	1.90913	0.687327	1.89076
XLOC_006540	EMIHUDRAFT_469069	EMIHUscaffold_246:74733-79231	NAD+ ADP-ribosyltransferase activity	2.67695	0.889005	1.39993	1.93872	2.39562	1.2636	2.03386
XLOC_006543	EMIHUDRAFT_115264	EMIHUscaffold_246:100950-101745	None	5.57166	4.79238	5.84305	3.71726	4.21132	3.78017	3.46514
XLOC_006542	EMIHUDRAFT_443500	EMIHUscaffold_246:96047-100461	None	8.94304	25.1275	19.41	29.8035	32.6004	15.0801	21.1063
XLOC_009250	EMIHUDRAFT_424489	EMIHUscaffold_284:61056-62770	None	0.50414	0.431798	0.173037	0.27178	0.207438	0.110599	0.231374
XLOC_009251	EMIHUDRAFT_239207	EMIHUscaffold_284:62852-65015	None	12.1507	11.4324	8.51412	9.48758	8.94641	10.4037	9.49008
XLOC_009253	EMIHUDRAFT_457905	EMIHUscaffold_284:68780-76429	regulation of pH	22.2269	30.4159	26.0325	20.4444	19.0982	26.9179	24.5058
XLOC_032388	EMIHUDRAFT_221175	EMIHUscaffold_95:211164-231773	None	1.05539	0.504319	0.331241	0.564059	0.584147	0.268136	0.70563
XLOC_032389	EMIHUDRAFT_107756	EMIHUscaffold_95:211164-231773	nucleic acid binding	11.3282	16.9309	14.1224	20.1462	20.812	13.7537	18.0636
XLOC_009256	EMIHUDRAFT_116241	EMIHUscaffold_284:82929-88117	None	0.0929306	0.101335	0.123341	0.21254	0.136973	0.145918	0.114238
XLOC_009257	-	EMIHUscaffold_284:95530-97861	None	1.808	0.635952	1.01992	0.575895	1.35831	0.929893	0.937786
XLOC_009258	-	EMIHUscaffold_284:98219-98889	None	2.27131	1.37145	2.16462	1.94137	1.68733	1.15702	2.16579
XLOC_032385	EMIHUDRAFT_453885	EMIHUscaffold_95:192281-197481	zinc ion binding	35.826	29.1725	27.5667	25.5521	24.6873	25.7836	27.9718
XLOC_032387	EMIHUDRAFT_45733	EMIHUscaffold_95:202407-207002	ATPase activity	0.564924	0.554348	1.07885	1.95217	1.13117	1.77245	1.35134
XLOC_032381	EMIHUDRAFT_221151	EMIHUscaffold_95:140300-143534	None	0.407917	0.544123	0.23735	0.159731	0.182748	0.337859	0.271994
XLOC_032382	-	EMIHUscaffold_95:173214-174280	None	19.5706	21.5106	10.9278	20.5059	27.6078	18.8079	18.8916
XLOC_032383	EMIHUDRAFT_453884	EMIHUscaffold_95:176058-178161	None	33.3613	34.51	28.5312	36.8216	38.3587	34.355	39.4897
XLOC_004037	-	EMIHUscaffold_115:33257-35158	None	0.58723	1.0516	0.937591	0.578117	1.24084	1.12769	0.760846
XLOC_004034	EMIHUDRAFT_224103	EMIHUscaffold_115:14840-16089	None	0.695568	0.280035	0.523389	0.572283	0.335607	0.429624	0.524762
XLOC_001001	EMIHUDRAFT_433299	EMIHUscaffold_10:630866-633509	None	15.7019	25.4435	15.3925	21.4154	18.6969	23.3674	21.7049
XLOC_001000	EMIHUDRAFT_199561	EMIHUscaffold_10:625378-627005	chromatin binding	11.3091	18.9988	17.2649	7.12238	7.5157	16.1952	9.97773
XLOC_001003	EMIHUDRAFT_199568	EMIHUscaffold_10:636735-639128	chromatin binding	13.7479	5.1262	7.18918	11.1399	9.75385	4.90607	13.5325
XLOC_004030	EMIHUDRAFT_125674	EMIHUscaffold_11490:13-672	None	3.1393	2.55802	2.38404	1.53672	2.3305	1.055	2.31076
XLOC_001009	-	EMIHUscaffold_10:657743-660057	None	2.49781	2.71238	2.76728	3.03297	3.00136	2.93803	3.23573
XLOC_001008	EMIHUDRAFT_462066	EMIHUscaffold_10:656403-657357	None	3.21413	3.47194	2.73073	3.13702	3.85826	3.00607	2.16334
XLOC_040164	EMIHUDRAFT_364165	KB864468:259294-260810	None	73.1778	68.6995	56.0864	80.4289	60.4229	81.1646	73.4458
XLOC_040161	EMIHUDRAFT_230169	KB864468:241790-242997	None	8.73747	1.00188	9.15949	9.82179	5.63529	11.7497	6.0351
XLOC_040163	-	KB864468:246504-258415	None	66.8824	63.1384	56.7967	75.0506	53.2151	74.5621	67.1277
XLOC_040168	EMIHUDRAFT_364175	KB864468:283574-285968	None	3.59503	2.37425	2.18354	3.11712	2.94764	3.80707	3.39203
XLOC_033260	EMIHUDRAFT_312703	EMIHUscaffold_99:240418-386765	protein binding	2.74389	2.18872	2.65832	2.81075	2.12809	2.89966	2.1294
XLOC_033263	EMIHUDRAFT_454052	EMIHUscaffold_99:240418-386765	None	2.36439	2.67431	2.12749	2.0283	1.85056	2.4847	3.04802
XLOC_033264	EMIHUDRAFT_454053	EMIHUscaffold_99:240418-386765	phosphatidylinositol metabolic process	3.89718	2.73959	3.06812	2.7926	2.46091	3.14655	2.58463
XLOC_033269	EMIHUDRAFT_221947	EMIHUscaffold_99:389139-392728	None	61.2171	36.2677	44.4507	30.553	39.8409	29.0502	41.6461
XLOC_041694	-	KB864594:274907-278157	None	8.38042	4.68557	6.42958	7.75039	5.97881	9.71872	7.99289
XLOC_041695	EMIHUDRAFT_423848	KB864594:281463-282476	None	2.01961	1.4273	3.07479	2.24604	1.77566	3.86031	1.83084
XLOC_009789	EMIHUDRAFT_458076	EMIHUscaffold_297:108451-110194	None	3.91286	4.96964	4.12785	5.75121	3.97174	4.70305	4.90427
XLOC_041690	EMIHUDRAFT_112718	KB864594:250368-253414	None	0.569737	0.166791	0.155713	0.366471	0.418247	0.31751	0.156061
XLOC_041691	EMIHUDRAFT_456269	KB864594:254671-256678	ATP synthesis coupled proton transport	1344.46	1289.36	1029.16	1315.57	1185.2	1145.72	1456.54
