Test_ID	Hit
XLOC_005432	&Ostreococcus tauri Septum formation inhibitor MinC (ISS) (Ot01g02170) mRNA, complete cds
XLOC_037472	&Fonticula alba CAMK/CAMKL/MARK protein kinase partial mRNA&Mus musculus protein kinase, AMP-activated, alpha 2 catalytic subunit (Prkaa2), mRNA&Mus musculus protein kinase, AMP-activated, alpha 2 catalytic subunit, mRNA (cDNA clone MGC:170191 IMAGE:8861586), complete cds&Mus musculus protein kinase, AMP-activated, alpha 2 catalytic subunit, mRNA (cDNA clone MGC:170190 IMAGE:8861585), complete cds&Coccomyxa subellipsoidea C-169 Piwi-domain-containing protein (COCSUDRAFT_56024) mRNA, complete cds&Drosophila willistoni GK25731 (Dwil\GK25731), mRNA&Drosophila grimshawi GH20522 (Dgri\GH20522), mRNA&Gaeumannomyces graminis var. tritici R3-111a-1 DNA replication protein 4 mRNA&Acyrthosiphon pisum mRNA, clone: ACI0AAF10YD04, full-insert cDNA sequence based on ESTs (5'-EST:ACI0AAF10YD04AAM1, 3'-EST ACI2AAF2YC24BBM1)&Mus musculus 10 days neonate medulla oblongata cDNA, RIKEN full-length enriched library, clone:B830021M01 product:solute carrier family 4 (anion exchanger), member 4, full insert sequence
XLOC_015830	
XLOC_000571	&Chlamydomonas reinhardtii gamma-tocopherol methyltransferase (VTE4) mRNA, complete cds&Chlamydomonas reinhardtii partial mRNA for gamma-tocopherol methyltransferase&Auxenochlorella protothecoides Tocopherol O-methyltransferase, chloroplastic partial mRNA&Phaeodactylum tricornutum CCAP 1055/1 tocopherol o-methyltransferase (TMT), mRNA&Ostreococcus tauri gamma-tocopherol methyltransferase (ISS) (Ot16g00320) mRNA, complete cds&Zea mays sterol methyl transferase2 (smt2), mRNA >gi|238908560|gb|BT034685.2| Zea mays full-length cDNA clone ZM_BFb0011F11 mRNA, complete cds&Zea mays full-length cDNA clone ZM_BFb0026M04 mRNA, complete cds&Zea mays full-length cDNA clone ZM_BFc0058O20 mRNA, complete cds&Zea mays full-length cDNA clone ZM_BFc0018A05 mRNA, complete cds&Zea mays full-length cDNA clone ZM_BFc0028A12 mRNA, complete cds
XLOC_010276	&TPA_inf: Tetraodon nigroviridis partial mRNA for putative ISG12 protein (isg12 gene)
XLOC_033388	&Salpingoeca sp. ATCC 50818 sodium/calcium exchanger 1 (PTSG_01911) mRNA, complete cds&Salpingoeca sp. ATCC 50818 Na+/Ca2+ exchanger NCX3 isoform (PTSG_03449) mRNA, complete cds&Cherax quadricarinatus sodium calcium exchanger 1 mRNA, partial cds&Cherax cainii sodium-calcium exchanger 1 mRNA, complete cds&Cherax destructor sodium-calcium exchanger 1 isoform 2 mRNA, complete cds&Cherax destructor sodium-calcium exchanger 1 isoform 1 mRNA, complete cds&Drosophila pseudoobscura pseudoobscura GA19055 (Dpse\GA19055), mRNA&Drosophila persimilis GL24292 (Dper\GL24292), mRNA&Drosophila ananassae GF17999 (Dana\GF17999), mRNA&Caenorhabditis elegans Protein NCX-2, isoform d
XLOC_004387	&Drosophila simulans GD13793 (Dsim\GD13793), mRNA&Drosophila simulans CG10853 gene, strain s1&Zea mays putative thaumatin domain family protein (LOC100383577), mRNA >gi|224030966|gb|BT067662.1| Zea mays full-length cDNA clone ZM_BFc0118O03 mRNA, complete cds&Zea mays clone 364823 mRNA sequence&Drosophila willistoni GK17120 (Dwil\GK17120), mRNA&Drosophila ananassae GF22127 (Dana\GF22127), mRNA&Drosophila willistoni GK24289 (Dwil\GK24289), mRNA&H.sapiens DNA sequence&Stenamma muralla isolate 20456ste ultra conserved element locus uce-158 genomic sequence&Stenamma megamanni isolate 19834ste ultra conserved element locus uce-158 genomic sequence
XLOC_003617	
XLOC_022987	
XLOC_043513	
XLOC_034320	&Beauveria bassiana ARSEF 2860 fungal specific transcription factor partial mRNA&Leishmania mexicana MHOM/GT/2001/U1103 protein kinase-like protein (LMXM_30_1830) mRNA, complete cds&Leishmania major strain Friedlin protein kinase-like protein (LMJF_31_1830) mRNA, complete cds&Mus musculus RIKEN cDNA 4930455H04 gene (4930455H04Rik), long non-coding RNA&Leishmania infantum JPCM5 protein kinase-like protein (LINJ_31_1870) mRNA, complete cds&Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930455H04 product:unclassifiable, full insert sequence&Rotylenchulus reniformis clone 393 microsatellite sequence&Chlamydomonas reinhardtii strain CC-503 cw92 mt+
XLOC_042019	&Acanthamoeba castellanii str. Neff ATPase, AAA domain containing protein (ACA1_057420) mRNA, complete cds&Acanthamoeba castellanii str. Neff ATPase, AAA domain containing protein (ACA1_046550) mRNA, complete cds&Acanthamoeba castellanii str. Neff ATPase, AAA domain containing protein (ACA1_011280) mRNA, complete cds&Acanthamoeba castellanii str. Neff ATPase, AAA domain containing protein (ACA1_072030) mRNA, complete cds&Beauveria bassiana ARSEF 2860 ATPase protein partial mRNA&Gaeumannomyces graminis var. tritici R3-111a-1 AAA family ATPase mRNA&Cordyceps militaris CM01 AAA family ATPase, putative (CCM_05675), partial mRNA&Dichomitus squalens LYAD-421 SS1 P-loop containing nucleoside triphosphate hydrolase protein (DICSQDRAFT_156019), mRNA&Dichomitus squalens LYAD-421 SS1 P-loop containing nucleoside triphosphate hydrolase protein (DICSQDRAFT_182673), mRNA&Neofusicoccum parvum UCRNP2 putative aaa family protein mRNA
XLOC_020144	
XLOC_016002	&Schizophyllum commune H4-8 glycoside hydrolase family 7 protein, mRNA&Myceliophthora thermophila ATCC 42464 glycoside hydrolase family 7 protein (MYCTH_42937) mRNA, complete cds&Fusicoccum sp. BCC4124 cellobiohydrolase I (cbh I) mRNA, complete cds&Trametes versicolor FP-101664 SS1 cellobiohydrolaseI partial mRNA&Flammulina velutipes strain KACC 42777 isolate 20 putative cellulose 1,4-beta-cellobiosidase precursor, mRNA, complete cds&Flammulina velutipes cel7A mRNA for glycoside hydrolase family 7, complete cds&Trametes versicolor FP-101664 SS1 cellobiohydrolaseI partial mRNA&Aspergillus terreus strain SUK-1 cellobiohydrolase mRNA, complete cds&Aspergillus terreus NIH2624 exoglucanase 1 precursor (ATEG_05002) partial mRNA&Dichomitus squalens LYAD-421 SS1 cellobiohydrolaseI (DICSQDRAFT_96488), mRNA
XLOC_035498	
XLOC_041921	&Chlamydomonas reinhardtii strain CC-503 cw92 mt+&Ashbya gossypii ATCC 10895 AGL083Wp (AGOS_AGL083W) mRNA, complete cds&Sus scrofa retinoblastoma 1 (RB1), mRNA >gi|399571553|gb|JX099502.1| Sus scrofa retinoblastoma protein (RB1) mRNA, complete cds
XLOC_009919	
XLOC_037131	
XLOC_013995	&Chlamydomonas reinhardtii SNF2 superfamily protein (CHLREDRAFT_6783) mRNA, complete cds&Chlamydomonas reinhardtii strain CC-503 cw92 mt+
XLOC_002465	&Pneumocystis murina B123 kexin-like protease mRNA&Pneumocystis murina kex1 gene for kexin-like protease KEX1, partial cds&Pneumocystis carinii f. sp. muris kexin-like protease KEX1 (kex1) mRNA, complete cds&Taeniopygia guttata clone 0058P0061D07 RIKEN cDNA 2510006D16 variant 2-like mRNA, complete sequence&Daphnia pulicaria transposon Pokey 6.6kb element putative transposase gene, complete cds&Acanthamoeba castellanii str. Neff gelatinase b, putative (ACA1_270230) mRNA, complete cds&Glaciozyma antarctica isolate AFP9 antifreeze protein mRNA, complete cds&Petromyzon marinus plasma albumin mRNA, complete cds&Cordyceps militaris CM01 copper radical oxidase (CCM_01791), partial mRNA&Bellamya aeruginosa clone ATG7 microsatellite sequence
XLOC_025372	&Phyllostachys edulis cDNA clone: bphyst009e18, full insert sequence&Hordeum vulgare subsp. vulgare cDNA clone: FLbaf126e06, mRNA sequence&Phyllostachys edulis cDNA clone: bphyst020j19, full insert sequence&Phyllostachys edulis cDNA clone: bphyst031i12, full insert sequence&Zea mays clone 237955 ribonucleoside-diphosphate reductase small chain mRNA, complete cds&Zea mays Ribonucleoside-diphosphate reductase small chain (LOC100193273), mRNA >gi|194692833|gb|BT035496.1| Zea mays full-length cDNA clone ZM_BFb0066E22 mRNA, complete cds&Auricularia delicata TFB-10046 SS5 ribonucleotide reductase small subunit (AURDEDRAFT_110332), mRNA&Saprolegnia diclina VS20 ribonucleoside-diphosphate reductase subunit M2 mRNA&Auxenochlorella protothecoides Ribonucleoside-diphosphate reductase small chain partial mRNA&Neofusicoccum parvum UCRNP2 putative ribonucleotide reductase small subunit protein mRNA
XLOC_018518	&Phyllostachys edulis cDNA clone: bphylf046c12, full insert sequence&Physalis acutifolia isolate PACUT 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
XLOC_038957	&Leishmania donovani clone LdtelF3 telomeric sequence&Homo sapiens isolate 3-10q26.3 10q-CI-HHV-6A insertion site&Morus notabilis Uncharacterized protein partial mRNA&Trypanosoma brucei variant surface glycoprotein 2114 gene, complete cds&Micromonas sp. RCC299 chromosome 11 glycoside hydrolase family 13 protein (AMY7) mRNA, complete cds&Zea mays hypothetical protein (LOC100304366), mRNA >gi|223943160|gb|BT060967.1| Zea mays full-length cDNA clone ZM_BFb0078F19 mRNA, complete cds
XLOC_018193	&P.occultum 23S ribosomal RNA, partial cds
XLOC_030588	&Brachypodium distachyon mRNA, clone: PL016C01-A-054_C22&TPA_inf: Chlamydomonas reinhardtii nat1 gene for arylamine N-acetyltransferase 1, strain CC-503 cw92 mt+, exons 1-13
XLOC_003027	&Punctularia strigosozonata HHB-11173 SS5 kinesin (PUNSTDRAFT_53692), mRNA&Salpingoeca sp. ATCC 50818 kinesin family member 17 (PTSG_01393) mRNA, complete cds&Gaeumannomyces graminis var. tritici R3-111a-1 carboxy-terminal kinesin 2 mRNA&Anopheles gambiae str. PEST AGAP002427-PA (AgaP_AGAP002427) mRNA, complete cds&Trypanosoma grayi kinesin partial mRNA&Homo sapiens kinesin family member 17 (KIF17), transcript variant 3, mRNA&Homo sapiens kinesin family member 17 (KIF17), transcript variant 1, mRNA&Homo sapiens kinesin family member 17 (KIF17), transcript variant 2, mRNA&Synthetic construct DNA, clone: pF1KA1405, Homo sapiens KIF17 gene for kinesin family member 17, without stop codon, in Flexi system&Homo sapiens mRNA for KIF17/KIAA1405 variant protein, complete cds
XLOC_014499	
XLOC_036448	
XLOC_037520	&Ixodes scapularis lin-9, putative, mRNA
XLOC_045343	
XLOC_001581	&Gaeumannomyces graminis var. tritici R3-111a-1 4-nitrophenylphosphatase mRNA
XLOC_032854	
XLOC_010928	&Pleurochrysis haptonemofera cDNA, clone: ConC3
XLOC_019109	
XLOC_011985	&Gossypium hirsutum clone NBRI_GE48649 microsatellite sequence&Bos taurus transmembrane channel-like 6 (TMC6), mRNA >gi|111305390|gb|BC119987.1| Bos taurus transmembrane channel-like 6, mRNA (cDNA clone MGC:139990 IMAGE:8285671), complete cds
XLOC_036020	
XLOC_000647	&Chlorella variabilis expressed protein (CHLNCDRAFT_133553) mRNA, complete cds
XLOC_030443	&Ostreococcus lucimarinus CCE9901 AEC family transporter: auxin efflux (OSTLU_25832) mRNA, complete cds
XLOC_034589	&Anopheles gambiae str. PEST AGAP009792-PA (AgaP_AGAP009792) mRNA, complete cds&Single read from an extremity of a full-length cDNA clone made from Anopheles gambiae total adult females. 5-PRIME end of clone FK0AAA48CF11 of strain 6-9 of Anopheles gambiae (African malaria mosquito)&Pichia pastoris GS115 Karyopherin alpha homolog, forms a dimer with karyopherin beta Kap95p (PAS_chr3_0612) mRNA, complete cds
XLOC_030547	
XLOC_016903	&Micromonas sp. RCC299 chromosome 10 ATP-binding cassette superfamily (MICPUN_62193) mRNA, complete cds&Micromonas pusilla CCMP1545 ATP-binding cassette superfamily, mRNA&Metarhizium acridum CQMa 102 ABC transporter, putative partial mRNA&Ostreococcus lucimarinus CCE9901 ABC(ABCG) family transporter: White protein-like protein (ABCG) (OSTLU_39403) mRNA, partial cds&Metarhizium robertsii ARSEF 23 ATP-binding cassette sub-family G member 2 mRNA&Ostreococcus tauri ATP transporter, putative (ISS) (Ot09g01590) mRNA, partial cds&Trametes versicolor FP-101664 SS1 pleiotropic drug resistance ABC transporter mRNA&Gaeumannomyces graminis var. tritici R3-111a-1 ATP-binding cassette sub-family G member 2 mRNA&Auxenochlorella protothecoides ATP-binding cassette sub-family G member 2 partial mRNA&Cordyceps militaris CM01 ATP-dependent permease MDL2 (CCM_07348), partial mRNA
XLOC_035476	&Monosiga ovata MoPTP-06 mRNA for protein tyrosine phosphatase, partial cds&Culex quinquefasciatus phd finger protein, mRNA&Triticum aestivum cDNA, clone: WT009_J24, cultivar: Chinese Spring&Aureococcus anophagefferens putative aspartate (ARC1), mRNA&Gregarina niphandrodes MIF4G domain protein partial mRNA&Volvox carteri f. nagariensis basal body protein (Ofd1), mRNA&Chlamydomonas reinhardtii eukaryotic initiation factor (EIF5Ba) mRNA, partial cds&Togninia minima UCRPA7 putative eukaryotic initiation factor 4f subunit p130 protein mRNA&Rhodococcus ruber strain TH sigma70 transcriptional factor (sigA) gene, complete cds&Leishmania braziliensis MHOM/BR/75/M2904 putative histone H1 (LBRM_27_1290) mRNA, complete cds
XLOC_025560	&Micromonas sp. RCC299 chromosome 9 condensin complex component (MICPUN_97912) mRNA, complete cds&Auxenochlorella protothecoides Structural maintenance of chromosomes protein 2-1 partial mRNA&Guillardia theta CCMP2712 condensin subunit, structural maintenance of chromosome protein 2, SMC2 (Smc2) mRNA, complete cds&Coccomyxa subellipsoidea C-169 RecF/RecN/SMC protein (COCSUDRAFT_54978) mRNA, complete cds&Salpingoeca sp. ATCC 50818 SMC2 protein (PTSG_06650) mRNA, complete cds&Thielavia terrestris NRRL 8126 SMC2-like protein (THITE_2046476) mRNA, complete cds&Micromonas pusilla CCMP1545 condensin complex component, mRNA&Ostreococcus tauri SMC2 protein (ISS) (Ot04g00660) mRNA, complete cds&Neofusicoccum parvum UCRNP2 putative nuclear condensin complex subunit smc2 protein mRNA&Chlamydomonas reinhardtii structural maintenance of chromosomes protein 2 (SMC2) mRNA, partial cds
XLOC_007621	
XLOC_000494	
XLOC_023410	&Canis lupus familiaris DRD4 gene for dopamine receptor D4, partial cds, isolate: DRD4-S&Synthetic construct DNA, clone: pF1KB7278, Homo sapiens PRDM8 gene for PR domain containing 8, without stop codon, in Flexi system&Homo sapiens cDNA FLJ75781 complete cds, highly similar to Homo sapiens PR domain containing 8, mRNA&Homo sapiens PR domain containing 8 (PRDM8), transcript variant 2, mRNA&Homo sapiens PR domain containing 8 (PRDM8), transcript variant 1, mRNA&Homo sapiens PR domain containing 8, mRNA (cDNA clone MGC:87293 IMAGE:5262186), complete cds
XLOC_006762	
XLOC_021032	
XLOC_044405	
XLOC_024548	&Aureococcus anophagefferens heat shock protein 70 mRNA&Saprolegnia diclina VS20 hsp70-like protein mRNA&Auricularia delicata TFB-10046 SS5 heat shock protein 70 (AURDEDRAFT_117237), mRNA&Phytophthora infestans T30-4 heat shock cognate 70 kDa protein (PITG_11913) mRNA, complete cds&C.paradoxa mRNA for HSP70 protein&Saprolegnia diclina VS20 heat shock 70kDa protein 1/8 mRNA&Blastocladiella emersonii heat shock protein (hsp70) gene, complete cds&Ostrinia furnacalis strain ACB-AbR heat shock cognate 70 kDa protein (HSC70) mRNA, complete cds&Blastocladiella emersonii heat shock protein Hsp70-3 mRNA, complete cds&Ergobibamus cyprinoides hsp70 gene for heat shock protein 70, partial cds, strain: CL
XLOC_022576	&Micromonas sp. RCC299 chromosome 10 ATP-binding cassette superfamily (MICPUN_62193) mRNA, complete cds&Micromonas pusilla CCMP1545 ATP-binding cassette superfamily, mRNA&Ostreococcus lucimarinus CCE9901 ABC(ABCG) family transporter: White protein-like protein (ABCG) (OSTLU_39403) mRNA, partial cds&Ostreococcus tauri ATP transporter, putative (ISS) (Ot09g01590) mRNA, partial cds&Metarhizium acridum CQMa 102 ABC transporter, putative partial mRNA&Trametes versicolor FP-101664 SS1 pleiotropic drug resistance ABC transporter mRNA&Auxenochlorella protothecoides ATP-binding cassette sub-family G member 2 partial mRNA&Cordyceps militaris CM01 ATP-dependent permease MDL2 (CCM_07348), partial mRNA&Metarhizium robertsii ARSEF 23 ATP-binding cassette sub-family G member 2 mRNA&Uncultured bacterium clone S13_TR_1052 genomic sequence
XLOC_018496	&Homo sapiens genomic sequence surrounding NotI site, clone NL1-CG1R&Ashbya gossypii ATCC 10895 AAR026Wp (AGOS_AAR026W) mRNA, complete cds
XLOC_026263	&Pseudorabies virus strain Ea UL50 protein (UL50) gene, partial cds; and O-glycosylated structural protein gN (UL49.5), UL49 tegument protein (UL49), and UL48 tegument protein (UL48) genes, complete cds&Suid herpesvirus 1 strain Kaplan UL49 gene for UL49 tegument protein and UL48 gene for UL48 tegument protein, strain Ka
XLOC_016080	&Homo sapiens regulating synaptic membrane exocytosis 4 (RIMS4), transcript variant 1, mRNA&Homo sapiens regulating synaptic membrane exocytosis 4 (RIMS4), transcript variant 2, mRNA&Drosophila sechellia GM26915 (Dsec\GM26915), mRNA&Chlamydomonas reinhardtii alpha glucosidase (AGL1) mRNA, complete cds&Drosophila simulans delta protein gene, exon 6 and partial cds&Drosophila mojavensis GI17415 (Dmoj\GI17415), mRNA&Drosophila ananassae GF18467 (Dana\GF18467), mRNA&Chlamydomonas reinhardtii aminodeoxychorismate synthase (ADC1) mRNA, complete cds&Panicum hallii var. filipes clone Ph_Micro_86 microsatellite sequence&Bos taurus kelch-like family member 11 (KLHL11), mRNA
XLOC_038746	&Verticillium dahliae VdLs.17 ATP-dependent RNA helicase ROK1 partial mRNA
XLOC_010258	&Arthroderma gypseum CBS 118893 phosphoribosylaminoimidazole-succinocarboxamide synthase (MGYG_05529) mRNA, complete cds
XLOC_010812	&Saprolegnia diclina VS20 DNA topoisomerase II mRNA&Triticum aestivum cDNA, clone: WT007_A10, cultivar: Chinese Spring&Anopheles gambiae str. PEST AGAP008917-PA (AgaP_AGAP008917) mRNA, partial cds&Ixodes scapularis DNA topoisomerase II, putative, mRNA&Drosophila persimilis GL21103 (Dper\GL21103), mRNA&Neofusicoccum parvum UCRNP2 putative dna topoisomerase ii protein mRNA&Drosophila pseudoobscura pseudoobscura GA10169 (Dpse\GA10169), mRNA&Salpingoeca sp. ATCC 50818 DNA topoisomerase II (PTSG_04681) mRNA, complete cds&Salpingoeca sp. ATCC 50818 DNA topoisomerase II, variant (PTSG_04681) mRNA, complete cds&Phytophthora infestans T30-4 DNA topoisomerase 2 (PITG_07874) mRNA, complete cds
XLOC_020938	
XLOC_002177	
XLOC_018856	
XLOC_000130	
XLOC_004389	&Mus musculus NK6 homeobox 1, mRNA (cDNA clone MGC:169643 IMAGE:8861038), complete cds >gi|187953782|gb|BC138020.1| Mus musculus NK6 homeobox 1, mRNA (cDNA clone MGC:169644 IMAGE:8861039), complete cds&Mus musculus NK6 homeobox 1 (Nkx6-1), mRNA&Mus musculus homeodomain transcription factor (Nkx6-1) mRNA, complete cds&Mus musculus homeodomain-containing transcription factor Nkx6.1 gene, partial cds
XLOC_030813	&Sus scrofa mRNA, clone:OVRM10220D01, expressed in ovary&Mus musculus non-SMC condensin II complex, subunit H2 (Ncaph2), transcript variant 3, mRNA&Mus musculus non-SMC condensin II complex, subunit H2 (Ncaph2), transcript variant 1, mRNA&Mus musculus non-SMC condensin II complex, subunit H2, mRNA (cDNA clone MGC:6766 IMAGE:3601298), complete cds&Mus musculus 6 days neonate spleen cDNA, RIKEN full-length enriched library, clone:F430003O04 product:weakly similar to Placental protein [Homo sapiens], full insert sequence&Mus musculus bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:I830051O11 product:weakly similar to Placental protein [Homo sapiens], full insert sequence&Mus musculus 16 days embryo heart cDNA, RIKEN full-length enriched library, clone:I920037G21 product:weakly similar to Placental protein [Homo sapiens], full insert sequence&Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930412I10 product:inferred: RIKEN cDNA 0610010J20 gene, full insert sequence&Mus musculus adult male kidney cDNA, RIKEN full-length enriched library, clone:0610010J20 product:weakly similar to Placental protein [Homo sapiens], full insert sequence&Mus musculus 6 days neonate skin cDNA, RIKEN full-length enriched library, clone:A030006B20 product:hypothetical protein, full insert sequence
XLOC_030879	
XLOC_010328	
XLOC_002204	&Mus musculus scratch homolog 2, zinc finger protein (Drosophila) (Scrt2), mRNA&Zea mays clone 239853 ras-related protein ARA-3 mRNA, complete cds&Zea mays uncharacterized LOC100273382 (LOC100273382), mRNA >gi|194703817|gb|BT040988.1| Zea mays full-length cDNA clone ZM_BFc0162I13 mRNA, complete cds&Zea mays clone 12828 mRNA sequence&Phyllostachys edulis cDNA clone: bphyem209e18, full insert sequence
XLOC_002259	&Aphaenogaster texana isolate 4628aph ultra conserved element locus uce-1388 genomic sequence&Bos taurus GRB10 interacting GYF protein 1 (GIGYF1), mRNA
XLOC_034086	&Culex quinquefasciatus chromosome-associated kinesin KIF4A, mRNA&Anopheles gambiae str. PEST AGAP000575-PB (AgaP_AGAP000575) mRNA, complete cds&Anopheles gambiae str. PEST AGAP000575-PA (AgaP_AGAP000575) mRNA, complete cds&Aedes aegypti AAEL001648-RA partial mRNA&Anopheles gambiae str. PEST AGAP003323-PA (AgaP_AGAP003323) mRNA, complete cds&Homo sapiens kinesin family member 17 (KIF17), transcript variant 3, mRNA&Homo sapiens kinesin family member 17 (KIF17), transcript variant 1, mRNA&Homo sapiens kinesin family member 17 (KIF17), transcript variant 2, mRNA&Synthetic construct DNA, clone: pF1KA1405, Homo sapiens KIF17 gene for kinesin family member 17, without stop codon, in Flexi system&Homo sapiens mRNA for KIF17/KIAA1405 variant protein, complete cds
XLOC_040265	
XLOC_006540	&Zea mays LOC100191611 (cl866_1a), mRNA >gi|194689347|gb|BT033753.1| Zea mays full-length cDNA clone ZM_BFc0165D18 mRNA, complete cds&Zea mays full-length cDNA clone ZM_BFc0069N09 mRNA, complete cds&Zea mays clone EL01N0555H08.d mRNA sequence&Triticum aestivum clone wdk3c.pk0003.a5:fis, full insert mRNA sequence&Zea mays clone 492148 mRNA sequence&Neospora caninum Liverpool cw-type zinc finger domain-containing protein,related (NCLIV_004780) mRNA, complete cds&Neofusicoccum parvum UCRNP2 putative metacaspase protein mRNA&Triticum aestivum cDNA, clone: WT005_A22, cultivar: Chinese Spring&Neofusicoccum parvum UCRNP2 putative pre-mrna splicing factor protein mRNA&Bos taurus phosphofurin acidic cluster sorting protein 1 (PACS1), mRNA
XLOC_036609	
XLOC_013648	&Sus scrofa mRNA, clone: BFLT10100H12, expressed in brain (frontal lobe)&Microbispora sp. V2 clone 486, genomic sequence&Sus scrofa mRNA, clone:OVRM10204B07, expressed in ovary&TPA_inf: Chlamydomonas reinhardtii nat1 gene for arylamine N-acetyltransferase 1, strain CC-503 cw92 mt+, exons 1-13
