Test_ID	Hit
XLOC_034562	&Mus musculus brain factor-1 (Hfhbf1) mRNA, class 2, complete cds&TPA: Homo sapiens long non-coding RNA OTTHUMT00000431300.2 (CAHM gene), lincRNA&Homo sapiens colon adenocarcinoma hypermethylated (non-protein coding) (CAHM), long non-coding RNA&Fonticula alba TKL/MLK protein kinase mRNA
XLOC_026493	&Streptomyces diastaticus polyketide rim gene cluster, partial sequence&Auricularia delicata TFB-10046 SS5 DNA ligase/mRNA capping enzyme (AURDEDRAFT_182122), partial mRNA
XLOC_015789	&Coccoid haptophyte CCMP625 nuclear 18S ribosomal RNA gene&Gephyrocapsa oceanica gene for 18S rRNA, partial sequence, strain: MBIC10537 >gi|50507968|dbj|AB183613.1| Gephyrocapsa sp. MBIC10535 gene for 18S rRNA, partial sequence, strain: MBIC10535 >gi|50507973|dbj|AB183618.1| Emiliania sp. MBIC10582 gene for 18S rRNA, partial sequence, strain: MBIC10582&Gephyrocapsa oceanica gene for 18S rRNA, partial sequence, strain: MBIC11100 >gi|514253877|gb|KC404120.1| Emiliania huxleyi isolate RCC1208 18S ribosomal RNA gene, partial sequence >gi|514253878|gb|KC404121.1| Emiliania huxleyi isolate RCC1210 18S ribosomal RNA gene, partial sequence >gi|514253879|gb|KC404122.1| Emiliania huxleyi isolate RCC1213 18S ribosomal RNA gene, partial sequence >gi|514253880|gb|KC404123.1| Emiliania huxleyi isolate RCC1214 18S ribosomal RNA gene, partial sequence >gi|514253881|gb|KC404124.1| Emiliania huxleyi isolate RCC1218 18S ribosomal RNA gene, partial sequence >gi|514253882|gb|KC404125.1| Emiliania huxleyi isolate RCC1219 18S ribosomal RNA gene, partial sequence >gi|514253883|gb|KC404126.1| Emiliania huxleyi isolate RCC1221 18S ribosomal RNA gene, partial sequence >gi|514253884|gb|KC404127.1| Emiliania huxleyi isolate RCC1225 18S ribosomal RNA gene, partial sequence >gi|514253885|gb|KC404128.1| Emiliania huxleyi isolate RCC1227 18S ribosomal RNA gene, partial sequence >gi|514253886|gb|KC404129.1| Emiliania huxleyi isolate RCC1228 18S ribosomal RNA gene, partial sequence >gi|514253887|gb|KC404130.1| Emiliania huxleyi isolate RCC1229 18S ribosomal RNA gene, partial sequence >gi|514253888|gb|KC404131.1| Emiliania huxleyi isolate RCC1245 18S ribosomal RNA gene, partial sequence >gi|514253889|gb|KC404132.1| Emiliania huxleyi isolate RCC1246 18S ribosomal RNA gene, partial sequence >gi|514253890|gb|KC404133.1| Emiliania huxleyi isolate RCC1247 18S ribosomal RNA gene, partial sequence >gi|514253891|gb|KC404134.1| Emiliania huxleyi isolate RCC1249 18S ribosomal RNA gene, partial sequence >gi|514253892|gb|KC404135.1| Emiliania huxleyi isolate RCC1250 18S ribosomal RNA gene, partial sequence >gi|514253893|gb|KC404136.1| Emiliania huxleyi isolate RCC1251 18S ribosomal RNA gene, partial sequence >gi|514253894|gb|KC404137.1| Emiliania huxleyi isolate RCC1254 18S ribosomal RNA gene, partial sequence >gi|514253895|gb|KC404138.1| Emiliania huxleyi isolate RCC1257 18S ribosomal RNA gene, partial sequence >gi|514253896|gb|KC404139.1| Emiliania huxleyi isolate RCC1258 18S ribosomal RNA gene, partial sequence >gi|514253897|gb|KC404140.1| Emiliania huxleyi isolate RCC1322 18S ribosomal RNA gene, partial sequence >gi|514253898|gb|KC404141.1| Emiliania huxleyi isolate ESP7414 18S ribosomal RNA gene, partial sequence >gi|514253899|gb|KC404142.1| Gephyrocapsa oceanica isolate RCC1223 18S ribosomal RNA gene, partial sequence >gi|514253900|gb|KC404143.1| Gephyrocapsa oceanica isolate RCC1279 18S ribosomal RNA gene, partial sequence >gi|514253901|gb|KC404144.1| Gephyrocapsa oceanica isolate RCC1281 18S ribosomal RNA gene, partial sequence >gi|514253902|gb|KC404145.1| Gephyrocapsa oceanica isolate RCC1282 18S ribosomal RNA gene, partial sequence >gi|514253903|gb|KC404146.1| Gephyrocapsa oceanica isolate RCC1284 18S ribosomal RNA gene, partial sequence >gi|514253904|gb|KC404147.1| Gephyrocapsa oceanica isolate RCC1286 18S ribosomal RNA gene, partial sequence >gi|514253905|gb|KC404148.1| Gephyrocapsa oceanica isolate RCC1287 18S ribosomal RNA gene, partial sequence >gi|514253906|gb|KC404149.1| Gephyrocapsa oceanica isolate RCC1289 18S ribosomal RNA gene, partial sequence >gi|514253907|gb|KC404150.1| Gephyrocapsa oceanica isolate RCC1296 18S ribosomal RNA gene, partial sequence >gi|514253908|gb|KC404151.1| Gephyrocapsa oceanica isolate RCC1305 18S ribosomal RNA gene, partial sequence >gi|514253909|gb|KC404152.1| Gephyrocapsa oceanica isolate RCC1306 18S ribosomal RNA gene, partial sequence >gi|514253910|gb|KC404153.1| Gephyrocapsa oceanica isolate RCC1307 18S ribosomal RNA gene, partial sequence >gi|514253911|gb|KC404154.1| Gephyrocapsa oceanica isolate RCC1308 18S ribosomal RNA gene, partial sequence >gi|514253912|gb|KC404155.1| Gephyrocapsa oceanica isolate RCC1316 18S ribosomal RNA gene, partial sequence >gi|514253913|gb|KC404156.1| Gephyrocapsa oceanica isolate RCC1318 18S ribosomal RNA gene, partial sequence >gi|514253914|gb|KC404157.1| Gephyrocapsa oceanica isolate MM4_6 18S ribosomal RNA gene, partial sequence >gi|514253915|gb|KC404158.1| Gephyrocapsa oceanica isolate MT3-6 18S ribosomal RNA gene, partial sequence >gi|514253916|gb|KC404159.1| Gephyrocapsa oceanica isolate PR3F3 18S ribosomal RNA gene, partial sequence&Emiliania huxleyi prymnesiophyceae 16S small subunit ribosomal RNA gene, partial sequence >gi|12085147|gb|M87327.2|EMIRRNAA Emiliania huxleyi 18S ribosomal RNA, partial sequence >gi|15209120|gb|AF184167.1|AF184167 Emiliania huxleyi small subunit ribosomal RNA gene, complete sequence >gi|12188753|emb|AJ246276.2| Gephyrocapsa oceanica 18S rRNA gene, strain PLY G01&Uncultured haptophyte clone BrayaSo_water_18S 18S ribosomal RNA gene, partial sequence&Isochrysis galbana strain SAG 13.92 18S ribosomal RNA gene, partial sequence&Isochrysis galbana strain CCMP1323 18S ribosomal RNA gene, partial sequence&Isochrysis galbana strain Ifremer-Argenton98 18S ribosomal RNA gene, partial sequence >gi|377648552|gb|JF489945.1| Isochrysis galbana isolate IgalbanaIII 18S ribosomal RNA gene, partial sequence&Isochrysis sp. Tun08 18S ribosomal RNA gene, partial sequence&Isochrysis sp. CCAP 927/14 18S ribosomal RNA gene, partial sequence
XLOC_010656	
XLOC_026283	&Acanthamoeba castellanii str. Neff RIO1 family protein (ACA1_254040) mRNA, complete cds&Acanthamoeba castellanii str. Neff RIO1 family/Rio2, Nterminal domain containing protein (ACA1_195560) mRNA, complete cds&Culex quinquefasciatus serine/threonine-protein kinase RIO2, mRNA&Fonticula alba Atypical/RIO/RIO2 protein kinase mRNA&Ixodes scapularis serine/threonine protein kinase rio2, putative, mRNA&Salmo salar RIO kinase 2 (yeast) (riok2), mRNA >gi|223647785|gb|BT058938.1| Salmo salar clone ssal-rgf-515-013 Serine/threonine-protein kinase RIO2 putative mRNA, complete cds&Drosophila grimshawi GH17367 (Dgri\GH17367), mRNA&Drosophila yakuba GE23582 (Dyak\GE23582), mRNA&Anopheles gambiae str. PEST AGAP001526-PA (AgaP_AGAP001526) mRNA, complete cds&Auxenochlorella protothecoides Serine/threonine-protein kinase rio2 partial mRNA
XLOC_016537	&Coniophora puteana RWD-64-598 SS2 NMD3-domain-containing protein mRNA&Ixodes scapularis NMD protein affecting ribosome stability and mRNA decay, putative, mRNA&Acanthamoeba castellanii str. Neff RNA binding protein (ACA1_064550) mRNA, complete cds&Capronia epimyces CBS 606.96 nonsense-mediated mRNA decay protein 3 partial mRNA&Colletotrichum gloeosporioides Nara gc5 nonsense-mediated mrna decay protein (CGGC5_360), partial mRNA&Saprolegnia diclina VS20 nonsense-mediated mRNA decay protein 3 mRNA&Culex quinquefasciatus CGI-07 protein, mRNA&Thielavia terrestris NRRL 8126 60S ribosomal export protein NMD3, partial mRNA&Neofusicoccum parvum UCRNP2 putative nonsense-mediated mrna decay protein 3 protein mRNA&Nectria haematococca mpVI 77-13-4 60S ribosomal export protein NMD3, partial mRNA
XLOC_041341	&Aureococcus anophagefferens putative plastid light harvesting protein isoform 37 (LHC37), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 48 (LHC48), partial mRNA&Guillardia theta partial mRNA for light harvesting complex protein (lhc1 gene)&TPA_inf: Isochrysis galbana chloroplast light-harvesting complex protein precursor Lhcz1; nuclear mRNA, complete cds; nuclear gene for chloroplast product&Selaginella moellendorffii light-harvesting complex (Lhcb4-2), mRNA&Selaginella moellendorffii light-harvesting complex (Lhcb4-1), mRNA&Rhodomonas sp. CS24 lhcc6 gene for light-harvesting complex protein Lhcc6 precursor, exons 1-3&Thalassiosira pseudonana CCMP1335 fucoxanthin chl a/c light-harvesting protein (Lhcr8), mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 42 (LHC42), mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 5 (LHC5), mRNA
XLOC_019741	
XLOC_032313	
XLOC_042552	&Togninia minima UCRPA7 putative ribosome biogenesis protein rpf2 protein mRNA
XLOC_036447	&Paracoccidioides brasiliensis Pb01 thioredoxin, mRNA&Human DNA sequence from clone XX-C0511C0695L on chromosome 22 Contains the MPPED1 gene for metallophosphoesterase domain containing 1, complete sequence&Paracoccidioides brasiliensis thioredoxin mRNA, complete cds&Gallus gallus finished cDNA, clone ChEST643n18&Gallus gallus nucleolin (NCL), mRNA >gi|63710|emb|X17199.1| Chicken mRNA for nucleolin C23&Chicken nucleolin/c23 mRNA, 3'end
XLOC_026154	
XLOC_010253	
XLOC_000986	&Coccomyxa subellipsoidea C-169 protein arginine N-methyltransferase (COCSUDRAFT_27851) mRNA, complete cds&Auxenochlorella protothecoides Protein arginine N-methyltransferase PRMT10 partial mRNA&Phytophthora sojae putative arginine N-methyltransferase partial mRNA&Anopheles gambiae str. PEST AGAP008846-PA (AgaP_AGAP008846) mRNA, partial cds&Chlamydomonas reinhardtii protein arginine N-methyltransferase (PRMT2) mRNA, complete cds&Single read from an extremity of a full-length cDNA clone made from Anopheles gambiae total adult females. 5-PRIME end of clone FK0AAA7AC12 of strain 6-9 of Anopheles gambiae (African malaria mosquito)&Single read from an extremity of a full-length cDNA clone made from Anopheles gambiae total adult females. 5-PRIME end of clone FK0AAA29CH02 of strain 6-9 of Anopheles gambiae (African malaria mosquito)&Single read from an extremity of a full-length cDNA clone made from Anopheles gambiae total adult females. 5-PRIME end of clone FK0AAA18BC03 of strain 6-9 of Anopheles gambiae (African malaria mosquito)&Thielavia terrestris NRRL 8126 S-adenosylmethionine-dependent methyltransferase superfamily domain-containing protein, partial mRNA&Neurospora crassa OR74A protein arginine methyltransferase RmtB (prm-3), mRNA
XLOC_018470	&Brugia malayi Glycine-rich cell wall structural protein 1 precursor partial mRNA
XLOC_001539	&Yarrowia lipolytica YALI0A03597p (YALI0A03597g) mRNA, complete cds&Petromyzon marinus transcription factor Hox8 (Hox8) gene, complete cds&Petromyzon marinus homeobox protein HoxQ8 (HoxQ8) gene, exon 1&Dichomitus squalens LYAD-421 SS1 lanosterol synthase (DICSQDRAFT_81565), mRNA&Trichophyton rubrum CBS 118892 inosine-uridine preferring nucleoside hydrolase (TERG_08001) mRNA, complete cds&Phyllostachys edulis cDNA clone: bphyem119a09, full insert sequence&Chlamydomonas reinhardtii UNI2 (UNI2) gene, complete cds&Arthroderma otae CBS 113480 argonaute, mRNA&Chlamydomonas reinhardtii histone methyltransferase (SET4) mRNA, complete cds
XLOC_040200	&Micromonas pusilla CCMP1545 DNA topoisomerase I (TOP1), mRNA&Yarrowia lipolytica YALI0D22286p (YALI0D22286g) mRNA, complete cds&Triticum aestivum clone UCDTA00344 genomic sequence
XLOC_021382	&Culex quinquefasciatus ribosome biogenesis protein bop1, mRNA&Anopheles gambiae str. PEST AGAP007128-PA (BOP1_ANOGA) mRNA, complete cds&Coccomyxa subellipsoidea C-169 BOP1NT-domain-containing protein (COCSUDRAFT_31266) mRNA, complete cds&Drosophila virilis GJ22246 (Dvir\GJ22246), mRNA&Ixodes scapularis block of proliferation protein mRNA, complete cds&Auxenochlorella protothecoides Ribosome biogenesis protein BOP1-like protein partial mRNA&Homo sapiens block of proliferation 1 (BOP1), mRNA&Neofusicoccum parvum UCRNP2 putative eukaryotic ribosome biogenesis protein 1 protein mRNA&Homo sapiens cDNA FLJ56617 complete cds, highly similar to Ribosome biogenesis protein BOP1&Homo sapiens cDNA, FLJ96693, highly similar to Homo sapiens block of proliferation 1 (BOP1), mRNA
XLOC_044461	
XLOC_016725	&Isochrysis galbana isolate 13 chloroplast light harvesting protein isoform 3 mRNA, complete cds; nuclear gene for chloroplast product&Isochrysis galbana isolate 6 chloroplast light harvesting protein isoform 4 mRNA, complete cds; nuclear gene for chloroplast product&Isochrysis galbana isolate 385 chloroplast light harvesting protein isoform 1 mRNA, complete cds; nuclear gene for chloroplast product&Isochrysis galbana isolate 1533 chloroplast light harvesting protein isoform 2 mRNA, complete cds; nuclear gene for chloroplast product&Aureococcus anophagefferens putative plastid light harvesting protein isoform 34 (LHC34), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 6 (LHC6), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 55 (LHC55), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 24 (LHC24), partial mRNA&Leymus secalinus chloroplast chlorophyll a-b binding protein gene, partial cds; nuclear gene for chloroplast product&Phyllostachys edulis cDNA clone: bphylf060b08, full insert sequence
XLOC_002139	&Uncultured bacterium clone CR35 carbon monoxide dehydrogenase form II large subunit gene, partial cds
XLOC_025714	&Phytophthora capsici clone CBOT73-D12 mRNA sequence
XLOC_037092	&Auxenochlorella protothecoides ABC transporter B family member 4 partial mRNA&Phytophthora sojae multidrug resistance protein ABC superfamily partial mRNA&Sorghum bicolor P-glycoprotein 1 (PGP1) gene, PGP1-Dw3-T allele, complete cds&Colletotrichum gloeosporioides Nara gc5 ABC multidrug transporter mdr1 (CGGC5_657), partial mRNA&Zea mays cultivar B73 PGP1 (pgp1) gene, complete cds&Saprolegnia diclina VS20 ATP-binding cassette, subfamily B (MDR/TAP), member 1 mRNA&Zea mays PGP1 (LOC100384057), mRNA >gi|224033738|gb|BT069048.1| Zea mays full-length cDNA clone ZM_BFb0150N04 mRNA, complete cds&Zea mays uncharacterized LOC100501321 (LOC100501321), mRNA >gi|391416806|gb|BT085045.2| Zea mays full-length cDNA clone ZM_BFb0231P04 mRNA, complete cds&Triticum aestivum cDNA, clone: WT004_C01, cultivar: Chinese Spring&Zea mays hypothetical protein (LOC100383541), mRNA >gi|224030668|gb|BT067513.1| Zea mays full-length cDNA clone ZM_BFc0071L16 mRNA, complete cds
XLOC_000186	&Verticillium dahliae VdLs.17 tRNA-dihydrouridine synthase partial mRNA&Magnaporthe oryzae 70-15 carboxypeptidase 2 (MGG_08736) mRNA, complete cds&Thielavia terrestris NRRL 8126 carbohydrate-binding module family 50 protein (THITE_2122186) mRNA, complete cds
XLOC_042448	&Trametes versicolor FP-101664 SS1 cysteine proteinase partial mRNA&Trametes versicolor FP-101664 SS1 cysteine proteinase partial mRNA&Arthroderma benhamiae CBS 112371 ubiquitin C-terminal hydrolase, putative, mRNA&Arthroderma gypseum CBS 118893 protein kinase subdomain-containing protein (MGYG_02548) mRNA, complete cds&Trichophyton rubrum CBS 118892 ubiquitin C-terminal hydrolase (TERG_03795) mRNA, complete cds&Clavispora opuntiae strain UCD(FST)86-7.3 5S ribosomal RNA gene and external transcribed spacer, complete sequence&Drosophila erecta GG18487 (Dere\GG18487), mRNA&Stereum hirsutum FP-91666 SS1 cysteine proteinase (STEHIDRAFT_79642), mRNA&Acanthamoeba castellanii str. Neff ubiquitin specific protease 22 family protein (ACA1_082960) mRNA, partial cds&Acanthamoeba castellanii str. Neff ubiquitin carboxylterminal hydrolase 22, putative (ACA1_203510) mRNA, complete cds
XLOC_000864	
XLOC_030208	&Acanthamoeba castellanii str. Neff brix domain containing protein (ACA1_138320) mRNA, complete cds&Auxenochlorella protothecoides Peter Pan-like protein partial mRNA&Synthetic construct Homo sapiens gateway clone IMAGE:100019563 3' read PPAN mRNA&Homo sapiens cDNA clone IMAGE:4126408, **** WARNING: chimeric clone ****&Ixodes scapularis protein Peter pan, putative, mRNA&Chlamydomonas reinhardtii strain CC-503 cw92 mt+
XLOC_002132	&Coccomyxa subellipsoidea C-169 cyclopropane fatty acid synthase (COCSUDRAFT_65805) mRNA, complete cds&Chlamydomonas reinhardtii cyclopropane fatty acid synthase (CFA1) mRNA, complete cds&Magnaporthe oryzae 70-15 cyclopropane-fatty-acyl-phospholipid synthase (MGG_04131) mRNA, complete cds&Magnaporthe oryzae 70-15 RNA exonuclease 4 (MGG_04132) mRNA, complete cds&Bathycoccus prasinos cyclopropane-fatty-acyl-phospholipid synthase (Bathy06g03280) mRNA, complete cds&Ostreococcus tauri unnamed protein product (Ot17g02130) mRNA, complete cds&Gaeumannomyces graminis var. tritici R3-111a-1 cyclopropane-fatty-acyl-phospholipid synthase mRNA&Cordyceps militaris CM01 methoxy mycolic acid synthase 1 (CCM_00420), partial mRNA&Acanthamoeba castellanii str. Neff TRRAP family protein (ACA1_180590) mRNA, partial cds&Phyllostachys edulis cDNA clone: bphyem102f24, full insert sequence
XLOC_044479	
XLOC_007153	&Aureococcus anophagefferens selenoprotein (Trx5), partial mRNA&uncultured dinoflagellate clone AP_1061048708033 mRNA sequence&Alexandrium fundyense strain GT-CA28 isolate 5p-cDNA8 putative protein disulfide isomerase precursor, mRNA, complete cds&Prorocentrum minimum clone Pmi_cDNA80 protein disulfide-isomerase-like protein EhSep2 precursor, mRNA, complete cds&uncultured dinoflagellate clone ML1_1061048708726 mRNA sequence&uncultured dinoflagellate clone AP_1061048708274 mRNA sequence&Symbiodinium kawagutii strain CCMP2468 clone SymkaFL1061064215955(5'-), partial sequence&Symbiodinium kawagutii strain CCMP2468 clone SymkaFL1061064222307(5'-), partial sequence&Symbiodinium kawagutii strain CCMP2468 clone SymkaFL1061064217081(5'-), partial sequence&Symbiodinium kawagutii strain CCMP2468 clone SymkaFL1061064221905(5'-), partial sequence
XLOC_029669	&Phytophthora infestans T30-4 U3 small nucleolar ribonucleoprotein protein IMP4 (PITG_05630) mRNA, complete cds&Zea mays full-length cDNA clone ZM_BFb0091K01 mRNA, complete cds&Zea mays clone 623117 mRNA sequence&Zea mays LOC100216667 (pco083390), mRNA >gi|194696131|gb|BT037145.1| Zea mays full-length cDNA clone ZM_BFb0156G13 mRNA, complete cds&Chlamydomonas reinhardtii strain CC-503 cw92 mt+&Zea mays PCO083390 mRNA sequence&Auricularia delicata TFB-10046 SS5 Brix-domain-containing protein (AURDEDRAFT_120108), partial mRNA&Acanthamoeba castellanii str. Neff U3 small nucleolar ribonucleoprotein component, putative (ACA1_251460) mRNA, complete cds&Hordeum vulgare subsp. vulgare cDNA clone: FLbaf100a02, mRNA sequence&Coccomyxa subellipsoidea C-169 Brix-domain-containing protein (COCSUDRAFT_21970) mRNA, complete cds
XLOC_033959	
XLOC_042746	&Caenorhabditis remanei CRE-CUTL-6 protein (Cre-cutl-6) mRNA, complete cds&Coniophora puteana RWD-64-598 SS2 amino acid permease partial mRNA
XLOC_014358	&Chlamydomonas reinhardtii strain CC-503 cw92 mt+&Acanthamoeba castellanii str. Neff WD repeat protein WDR3, putative (ACA1_144400) mRNA, complete cds&Dichomitus squalens LYAD-421 SS1 WD40 repeat-like protein (DICSQDRAFT_60931), partial mRNA&Gaeumannomyces graminis var. tritici R3-111a-1 DOM34-interacting protein 2 mRNA&Chondrus crispus WD40-repeat containing protein (CHC_T00009435001) mRNA, complete cds&Uncultured marine organism clone IOBCBE001_38-C07-SP6.ab1 genomic sequence&Fusarium graminearum PH-1 WD repeat-containing protein slp1 partial mRNA&Trametes versicolor FP-101664 SS1 WD40 repeat-like protein mRNA&Streptomyces avermitilis polyketide-3 biosynthetic gene cluster&Micromonas pusilla CCMP1545 set domain protein, mRNA
XLOC_008158	&Auxenochlorella protothecoides 60S ribosome subunit biogenesis protein NIP7-like protein partial mRNA&Gallus gallus nuclear import 7 homolog (S. cerevisiae) (NIP7), mRNA&Micromonas sp. RCC299 chromosome 5 PUA like RNA binding protein (MICPUN_81410) mRNA, complete cds&Gallus gallus finished cDNA, clone ChEST60d3&Gallus gallus finished cDNA, clone ChEST63h22&Capsaspora owczarzaki ATCC 30864 60S ribosome subunit biogenesis protein NIP7 mRNA&Tetraodon nigroviridis full-length cDNA&Tetraodon nigroviridis full-length cDNA&Chlamydomonas reinhardtii strain CC-503 cw92 mt+&Glycine max uncharacterized LOC100527285 (LOC100527285), mRNA >gi|255631951|gb|BT092116.1| Soybean clone JCVI-FLGm-10I19 unknown mRNA
XLOC_041688	&Brachypodium distachyon mRNA, clone: PL016C01-A-020_M14&Brachypodium distachyon mRNA, clone: PL016C01-A-004_K23&Brachypodium distachyon mRNA, clone: PL016C01-A-094_F12&Brachypodium distachyon mRNA, clone: PL016C01-A-040_D07&Chaetomium thermophilum var. thermophilum DSM 1495 cysteine synthase-like protein (CTHT_0060870), partial mRNA
XLOC_023963	
